cat,source,machine,title,body,url,quality,dup_key,author
column,DMMぱちタウン,全般,"まどマギはこう進化した｜A+ART初代からスマスロ前後編まで","魔法少女まどか☆マギカのスロは規制とトレンドを映す鏡だ。2013年12月の初代はA+ARTでマギカラッシュ純増約1.4枚をコツコツ積む5号機、続く2も同路線、2017年12月のAはボーナス変更型のノーマルAタイプへ路線変更、2019年9月の叛逆の物語はシリーズ初の6号機で穢れシステムを導入、そして最新のスマスロ前編/後編フォルテと外伝マギアレコードへ。A+ART→A→6号機AT→スマスロと、まさに号機史そのものを歩んだIPだ。",https://p-town.dmm.com/specials/3224,4,madomagi_series_hensen_column_aplusart_shodai_a_type_6gou_sumaslo_zenkohen,スロキー編集部
column,ジャグラーズネット,全般,"沖ドキ！系譜まとめ｜初代からDUO・GOLD・BLACK・スマスロまで","沖ドキ！は2014年8月の初代以降ずっと愛される沖スロAT。5号機初代は天国モードループの一撃性で伝説化、6.2号機のDUOは有利区間3000Gでテーブル管理と有利区間天井の概念を追加、2022年12月のGOLDはシリーズ初6.5号機で初代仕様を最適化、2024年7月のBLACKは6.6号機の後継、そして2025年12月にシリーズ初スマスロが登場。天国33G以内ループ・スルー回数管理という核は変えず、規制ごとに味付けを変えて生き延びてきた沖スロの代名詞だ。",https://jugglersnet.com/hikarimonoat/okidoki-6goki,4,okidoki_series_hensen_column_shodai_2014_duo_gold_black_sumaslo_tengoku_loop,スロ専門編集
column,DMMぱちタウン,全般,"パチスロ モンハン史｜初代・月下雷鳴からワールドまでの系譜","カプコンの狩りIPは節目ごとに主役モンスターと拠点を変えてきた。2012年3月の初代、2014年3月の月下雷鳴はポータブル3rd準拠でジンオウガとユクモ村温泉が舞台、2017年1月の狂竜戦線、2020年11月のワールドと続き、現行のワールド アイスボーンには月下雷鳴のシステムやキャラが再登場して実質後継に。狩猟ゲームらしく討伐＝AT/上乗せを軸に、原作のナンバリング交代に合わせてモンスターと武器演出を刷新し続けるのがモンハン台の面白さだ。",https://p-town.dmm.com/machines/series/84,4,monster_hunter_series_hensen_column_shodai_2012_gekka_kyoryu_world_iceborne,パチスロ記者
column,note（パチプロ20年目）,全般,"甘い台・辛い台の見分け方｜設定1の割とコイン単価で読む","甘い/辛いには2つの意味がある。ひとつは設定1の機械割で、100%前後の台は低設定でも大負けしにくく甘い、95%以下は辛い。もうひとつは出玉の荒さで、コイン単価が低くベースが高い40〜50G/50枚の台はマイルドで甘く感じ、コイン単価5円超・ベース30G前後の台は吸い込みが速く辛く感じる。勝ちに行くなら高設定が入る店で力を入れる機種の設定6を狙うが王道で、甘い機種選びはあくまで下振れを抑えるリスクヘッジという位置づけだ。",https://note.com/ocean_view0001/n/n3d82a9d5fabd,4,amai_karai_kishu_miwake_column_settei1_kikaiwari_coin_tanka_base,編集長補佐
column,note（パチプロ20年目）,全般,"当たりはレバーの瞬間に決まる｜乱数とメイン・サブ基板の話","パチスロの当落はレバーを叩いた瞬間に取得する乱数で確定していて、ストップボタンを押す時には結果はもう決まっている。抽選と出玉制御はメイン基板が担い、リーチや告知などの演出はサブ基板が担当という役割分担だ。だからそろそろ来る・押し方で引き寄せるは原理的に効かない。しかも型式試験規則で各ゲームは完全独立抽選が義務。前のゲームの結果に一切依存しないので、演出はあくまで確定した結果を後から見せる化粧に過ぎない。",https://note.com/ocean_view0001/n/ncbd1b09b50b4,4,chusen_ransu_shikumi_column_lever_shunkan_main_sub_kiban_kanzen_dokuritsu,スロ好き編集マン
jissen,スロベース,L戦国コレクション6,"戦コレ6のやめ時が難しい｜120枚以下即やめNG・ガチャ持ち続行","コナミのL戦国コレクション6はやめ時判断が独特だ。AT終了後の獲得が120枚以下だと約50%で裏モードへ移行するため即やめは損、逆に武将ガチャチケット所持中は出玉率100%超なので続行が正解。周期は当選まで回し、規定コレ数到達直前での放置は厳禁。最終決戦(上位CZ)を失敗しても天国移行が濃厚で222コレ以内のAT当選が見込め続行推奨だ。設定6は機械割114.9%・初当り1/252.2とシリーズ最高クラスだが、通常時は重めで随所のやれる感で回させる作り。",https://slobase.jp/machines/sengoku-collection6,4,sengoku_collection6_jissen_yamedoki_120mai_gacha_zoku_uramode_222kore,深夜のスロライター
jissen,スロベース,L ULTRAMAN 最終決戦,"ULTRAMAN最終決戦の打感｜純増7枚で一撃、退屈との声も","京楽系オッケーのL ULTRAMAN 最終決戦は純増約7.0枚の高純増AT。メインのウルトラRUSHと初期300枚以上の上位・超ウルトラRUSHの2段構えで、CZ最終決戦の突破期待度は約50%、突破後の上位ATはレア役上乗せが実質100%で一撃性が高い。天井はCZ間700G+α・AT間1500G+α(リセット時500/1000G+α)。やめ時はAT後の引き戻し区間表示を消化してから。実戦の声は割れており、高純増で600枚前後は安定して出る反面、通常時もAT中も淡白で退屈という辛口も目立つ。",https://slobase.jp/machines/ultraman-saishu-kessen,4,ultraman_saishu_kessen_jissen_uchikan_junzo7_choultra_rush_50pct_taikutsu,スロ好き編集マン
episode,Wikipedia,サンダーV,"サンダーV｜リーチ目2532種、喰える4号機の名機中の名機","1997年にメーシーが世に出したサンダーVは、ユニバらしい大量リーチ目と技術介入を売りにしたA-400のノーマル機。リーチ目総数はなんと2532種、設定6機械割は約117.21%。適当打ちでリーチ目とフラッシュを楽しむもよし、小役回収打法・リプレイ外し・設定判別で攻略し尽くすもよしで打つ人を選ばない名機中の名機と語り継がれる。のちのハナビなどメガヒット機の礎を築いた先駆けで、筐体デザインやサウンドのクオリティも当時屈指だった。",https://ja.wikipedia.org/wiki/サンダーV,4,thunder_v_shodai_4gou_1997_mace_a400_reachme_2532_settei6_11721_episode,編集部のマニア
episode,パチマガスロマガFREE,秘宝伝,"秘宝伝(初代)｜大都最後の4号機、高確からのストック解除","秘宝伝は大都技研が2006年6月に出した4号機で、吉宗・押忍!番長に続くシャッター液晶第3弾。同社最後のA400ストック機で、高確率ゾーン中は毎ゲーム約1/16でボーナス放出抽選が行われ、そこからの解除がボーナス突入のメインだった。設定6はBIG1/259・REG1/261で機械割112.17%と甘く、BIG中のハズレやスイカ確率で設定判別も比較的容易。5号機時代を目前にトップクラスの人気を得て、後年の秘宝伝 解き放たれた女神などシリーズの原点になった名機だ。",https://pachimaga.com/free/special/a1e859f701da94cac32644740e0b031164fec660.php,4,hihouden_shodai_4gou_2006_daito_a400_stock_koukaku_16_settei6_11217_episode,スロキー編集部
episode,Wikipedia,アラジンA,"アラジンA｜獣王・サラ金と並ぶ爆裂ブームの主役AT","サミーのアラジンAは、獣王やサラリーマン金太郎と並んで4号機爆裂ブームを牽引した一台。最大の武器は驚異的なスピードを誇るATアラジンチャンス(AC)で、一度波に乗れば数時間で万枚を突破する破壊力を持っていた。アラジンシリーズ自体は1989年のニイガタ電子時代から続く歴史あるIPだが、AT機として一時代を築いたのはこのアラジンA。攻めのATで一撃を狙うゲーム性は、のちのAT/ART全盛期へと続くパチスロ史の重要な分岐点となった。",https://ja.wikipedia.org/wiki/アラジンA,4,aladdin_a_4gou_sammy_bakuretsu_boom_at_aladdin_chance_manmai_episode,パチスロ記者
