cat,source,machine,title,body,url,quality,dup_key,author
info,ちょんぼりすた,Lタクトオーパス デスティニー,タクトオーパスの核は上位AT「オルフェループ」期待3000枚,"アムテックス5/11導入のスマスロ最新作。機械割は設定1が97.6%設定6が113.5%でAT初当り設6約1/297.4。核は上位AT『オルフェループ』で初期150枚+α純増約2.6枚の差枚数管理型・突入時に報酬JUDGEストック1個獲得+高モード固定+バトルが全てvsオルフェになり期待約3000枚。天井は通常時999G+αでAT・500G+αでCZ(設定変更時300G+α短縮)。設定判別はムジカートチャンスでのFate選択率や終了画面スタンプが主軸で設4以上はモードC選択が優遇。上位到達回数が機械割を直結する差枚管理型。",https://chonborista.com/slot/amute/254099/,4,takt_op_destiny_info_spec_settei_orpheloop_3000_tenjo999_cz500_fate_modeC_sadesa,スロ専門編集
jissen,パスログ,Lタクトオーパス デスティニー,タクトオーパス初打ち評価真っ二つ「バトルなしで駆け抜けた」悲鳴,"5/11稼働アムテックスの初打ち評価は真っ二つ。メインAT『バトルオーケストラ』は純増約2.6枚初期150枚+αの差枚数管理型で最上位オルフェループの期待約3000枚に夢がある一方、初回最深150Gの振り分けが約40%と重く14枚ベルの偏り次第で差枚が尽き『バトルなしで駆け抜けた』の悲鳴が続出。設定5・6は引き戻し94%超で完走も現実的だが低設定は駆け抜けと天井ハマりが目立ち設定差が顕著。オルフェループ後は30G引き戻し区間で約70%再突入を狙う。ハマれば映像楽曲込みで満足度高いが道中は淡白との声。",https://slotlog.net/archives/post-133629.html,4,takt_op_destiny_jissen_sanpi_sazemai_kanri_150g40_hikimodoshi94_kakenuke,深夜のスロライター
jissen,なな徹,スマスロ バイオハザードRE:3,バイオRE3の天井狙いは4スルーから・CZ成功37%を見極め,"エンターライズ5/11導入・天井狙いが機能する現行機。天井はポイント最大500pt・ゲーム数最大1000G+α・CZ『ネメシスバトル』6スルー後7回目成功濃厚の3種でメニュー画面のNEMESIS BATTLE表示がCZ回数。狙い目は等価で約600Gから+CZ4スルーから拾えるのが妙味。CZ成功率は約37%と1回で当たるとは限らず、スルー回数を確認しながらの立ち回りが鍵。コイン持ち設定1約32.8G/50枚コイン単価約3.4円で天井まで平均最大投資約3万円が目安。基本は状態確認後の即ヤメが無難でハイエナ向き。",https://nana-press.com/kaiseki/machine/1140/36677/,4,biohazard_re3_jissen_czsuruu_tenjo_6suru7_600g_4suru_seikou37_coin34_sokuyame,パチスロ記者
info,スロベース,スマスロ スーパーリオエース2,スーリオ2は上位AT「リオラッシュEX」約50%ループが出玉の核,"山佐ネクスト5/11導入。機械割は設定1が97.7%設定6が112.1%で設6合算初当り約1/219.2。メインAT『リオラッシュ』は初期50G+α純増約2.5枚のゲーム数上乗せ型、上位AT『リオラッシュEX』は純増約4.5枚で終了後必ず上位CZへ入り約50%で上位ATがループするのが出玉の核。天井は通常時ボーナス間750G+αが本天井(BIG当選+AT期待約50%)・リセット時500G+αに短縮・BIGスルー天井は7連スルー後8回目でAT変換濃厚。上位ループ到達可否で出玉が大きく変わる強力スペック。",https://slobase.jp/articles/super-rio-ace2-expected-value,4,rioace2_info_tenjo_riorush_ex_junzo45_loop50_honmten750_reset500_bigsuruu7_8,編集部のマニア
jissen,一撃,スマスロ からくりサーカス2,からくり2は極限舞踏→超からくりで純増8枚・評価両極の一撃型,"SANKYO7/6導入・スマスロ屈指の荒波AT機。AT『からくりサーカス』は純増約2.8枚初期150枚の差枚管理型でミッション激情ジャッジ(成功期待約50%)を3回成功させ運命の一劇の権利を得る。突破すると平均約800枚上乗せの最上位特化ゾーン『極限舞踏』を経由し上位AT『超からくりサーカス』へ突入、純増が約8.0枚に跳ね上がり全上乗せが3桁化。ロングフリーズでも極限舞踏に入る。低設定はAT初当りが重く一撃で上位到達できるかが全て。『今世紀最大の名機』と『二度と打たない』が同居する評価両極の一撃特化型。",https://1geki.jp/slot/l_karakuri2/91/,4,karakuri2_jissen_kyokugenbutou_choukarakuri_ichigeki_junzo80_800_meiki_sanpi,スロ好き編集マン
jissen,一撃,L ULTRAMAN 最終決戦,ウルトラマン最終決戦は平均7分で上位AT到達の超光速スマスロ,"オッケー(京楽系)7/6導入・平均約7分で上位ATに到達する超光速スマスロ。メインAT『ウルトラRUSH』純増約7.0枚で部位破壊を狙い、ゼットン撃破で上位ATをかけた最終決戦へ発展、突破で上位『超ウルトラRUSH』の大量上乗せへ。通常時はレア役やスペシウム目からCZ『クライシスゾーン』経由でAT当選を目指す。試打では約7分で上位ATに到達する速さが話題だが、導入前評価では『打ちたくない』の声もありスピードと引き換えの荒さに賛否。噛み合った時の吹き上がりと超光速の出玉スピードが最大の武器。",https://1geki.jp/slot/l_ultraman_sai/,4,ultraman_saishukessen_jissen_choukousoku_7fun_jouiat_urutrarush_junzo70_zetton_sanpi,編集長補佐
hall,パチスロゾーン,全般,業界が「BT10」始動・ボーナストリガー機の設置比率10%を目標に,"日電協と回胴遊商が7/3に都内でBT機勉強会を開催し、BT機(ボーナストリガー機)の設置比率10%を目指す共通目標『BT10』を掲げた。BT機はボーナスをトリガーに出玉を上乗せする新しい遊技性で、マジカルハロウィン ボーナストリガーやタコスロ等が該当。スマスロAT機に偏った市場に対しノーマル/ボーナス系の遊技性を再興させる業界的な動きで、打ち手には管理型ATに疲れた層の受け皿として設置増が期待される。目標比率10%が実現すればホールの機械構成が多様化し台選びの幅が広がる。",,3,general_bt10_nichidenkyou_kaidoyusho_73_benkyokai_bonus_trigger_setchi10_tayouka,スロキー編集部
episode,ウィキペディア,大花火,大花火(4号機)は技術介入最高峰・完璧に打てば設1でも機械割100%超,"1999年アルゼの4号機A-700タイプで、技術介入機の最高峰と語り継がれる名機。BIG中のメイン小役を15枚役としその抽選確率を極限まで引き上げ最高獲得711枚を実現、BIG中のビタ押しはずしと通常時の小役回収を完璧にこなせば理論上は設定1でも機械割が100%を僅かに超える。取りこぼし注意で通常時リーチ目が限られた初代ハナビの難点を改善しリーチ目も豊富。販売台数は約20万台でアルゼブランド最多を記録。腕が出玉に直結する“打ち手が主役”の時代を象徴する一台。",https://ja.wikipedia.org/wiki/%E5%A4%A7%E8%8A%B1%E7%81%AB,4,oohanabi_4gou_1999_aruze_a700_gijutsukainyu_15maiyaku_711_bita_hazushi_20man_episode,スロ好き編集マン
episode,パチセブン,クランキーコンドル,クランキーコンドルは「技術介入」を世に知らしめた4号機の原点,"1995年ユニバーサルのA-400タイプ4号機で、パチスロに『技術介入』を世に知らしめた記念碑的名機。搭載はBBとRBのみだが通常時の小役狙いとBIG中のリプレイ外しを駆使すれば設定1でも機械割約104%に到達、腕次第で勝てるAタイプの原点となった。テーブル制御による青7・赤7・リリス(リプレイリプレイスイカ)など秀逸なリーチ目が魅力で、以降の多くのアクロス系Aタイプに受け継がれた。販売は10万台超でクランキーコンテスト等の後継機も生んだ。目押しと解析が武器になる硬派なノーマル機の礎。",https://pachiseven.jp/articles/detail/6365,4,cranky_condor_4gou_1995_universal_a400_gijutsukainyu_replay_hazushi_104_reachme_lilith_10man_episode,ライター見習い
info,ちょんぼりすた,e甲鉄城のカバネリ2 咲かせや燦然,カバネリ2咲かせや燦然はLTミドル・大当り80%が3000個以上,"サミーのスマパチ続編でLT(ラッキートリガー)搭載のミドル。大当り約1/319.7・RUSH突入約50%・RUSH『海門決戦』継続率約75%で、大当りの約80%が3000個以上、輪廻の果報発生時は6000個+約7.7%で3000個上乗せループと出玉性能はトップクラス。枷紐演出やロゴ・心臓皮膜役モノのギミック可動で海門決戦リーチへ発展する信頼度設計で、パチスロ甲鉄城のカバネリをリスペクトした演出とBGMも搭載。曲と出玉のバランスは高評価だがハマりの多さを指摘する声もある演出・音重視の版権スマパチ。",https://chonborista.com/pachinko/sammy/250338/,4,kabaneri2_sakaseyasanzen_pachinko_sammy_lt_1_3197_rush50_keizoku75_3000_80_rinne6000_ongaku,編集部AI
