cat,source,machine,title,body,url,quality,dup_key,author
column,パチセブン,全般,役物比率70%・連続役物比率60%——出玉を「どこで出すか」はメーカーが自由に決められない,規則では役物（SB・CB・MB・RB・BB）の作動で払い出した分の割合を役物比率70%以下、連続役物（RB・BB）由来を連続役物比率60%以下に抑えるよう定められている。裏を返せば通常ゲームの小役で全体の30%以上は出さなければならず「ボーナスだけで出玉を作る台」は規則上そもそも作れない。しかもホール設置後は役比モニタが実際の比率を記録し続けるので、市場に出てからの不正改造も数字で見抜ける。Aタイプの出玉が意外とベース側に配られているのも、AT機がベルの払い出しで純増を作るのも、出発点はこの2つの上限にある。,https://pachiseven.jp/articles/detail/9548,5,yakumono_hiritsu_column_yakumono70_renzoku_yakumono60_sb_cb_mb_rb_bb_yakuhi_monitor_tsujo_game_koyaku_30ijou_fusei_kaizo_kenchi_atype_base_haibun_at_bell_haraidashi_junzo_kisoku_kongen,スロキー編集部
column,一撃,全般,「業界初の新システム」は何を新しくしているのか・抽選の入口／出玉の在庫／演出の粒度で3分類できる,直近の“業界初”を並べると触っている場所が違う。8月17日導入の邪神ちゃんドロップキックの「ちゃんすラインシステム」はリプレイやベルでもチャンスライン上に成立すれば期待度が上がる＝抽選の入口を増やす型。7月6日導入のローティスの「SBBストックシステム」は約507枚のボーナスを在庫として持たせる＝出玉の保管方法を変える型。SAO2の「バレットサークル」は通常時もAT中も同じ単位で価値が動く＝演出の粒度を揃える型。新システムを見たら入口・在庫・粒度のどれをいじったのかで読むと、打つ前に楽しみ所の見当がつく。,https://1geki.jp/slot/l_jashinchan/,5,gyokai_hatsu_system_bunrui_column_chansu_line_jashinchan_chusen_iriguchi_sbb_stock_rotis_507mai_zaiko_bullet_circle_sao2_enshutsu_ryudo_3bunrui_yomikata,編集部AI
column,DMMぱちタウン,全般,同じルパン三世でも「拾える台」と「拾えない台」が併存している・天井の有無で立ち回りが正反対になる,ルパン三世のスロットは同じ版権なのに立ち回りが真っ二つに割れている。2024年12月2日導入のLルパン三世 大航海者の秘宝は通常時最大1000G+αでAT当選、AT純増約2.7枚・上位「盗り放題スーパーヒーロー」で約4.7枚、AT初当り1/289.1〜1/216.3・機械割97.7〜114.3%で、ハマり台を拾う立ち回りが成立する。対して2025年12月22日導入のL不二子BTは天井も有利区間も非搭載。回っていても期待値は増えないので朝から設定を見る以外の攻め方がない。IPで台を選ぶ人ほど、この差は先に知っておきたい。,https://p-town.dmm.com/machines/4689,5,lupin_ip_tenjo_umu_column_daikoukaisha_no_hihou_20241202_1000g_junzo27_47_torihoudai_superhero_hatsuatari_2891_2163_kikaiwari_977_1143_fujiko_bt_20251222_tenjo_nashi_yurikukan_nashi_settei_nerai_sennyou,スロ専門編集
episode,一撃,押忍！サラリーマン番長（5号機）,押忍！サラリーマン番長（5号機）・仁王門を自力で突破して頂RUSHへ、というATの型を量産機の規模で証明した台,大都技研が2014年9月8日に導入した5号機のAT機。ATの純増は1Gあたり約2.8枚で、番長ボーナス40〜100G・超番長ボーナス50G・AT「頂RUSH」50G+αという構成だった。核はCZ「仁王門」で、10G+αの自力高確率ゾーンを自分で通して頂RUSHへ入れる流れが打感の中心にある。当たりを「引く」のではなく関門を「通す」体験を毎回作った点が後続に効いていて、いまのスマスロが当然のようにやっている自力CZ→ATという構図は、この時期のサラ番が大量設置の規模で成立を証明した型でもある。,https://1geki.jp/slot/osu_sbancho/,5,osu_salaryman_bancho_5gou_20140908_daitogiken_at_junzo28_bancho_bonus_40_100g_cho_bancho_bonus_50g_itadaki_rush_50g_alpha_cz_niomon_10g_jiriki_kokakuritsu_zone_toppa_gata_teichaku_episode,編集部のマニア
episode,DMMぱちタウン,パチスロ戦国BASARA3（5号機）,パチスロ戦国BASARA3（5号機）・天井を3種類積んで「深いほど恩恵が良くなる」を先にやっていた台,エンターライズが2014年9月1日に導入した5号機のART機。純増は1Gあたり約2.2枚で、BASARA BONUSはベルナビ20/30/50/100回・武将BONUSはベルナビ8回という獲得枚数の管理だった。面白いのは天井が3種類あったこと。第一天井はボーナス&ART間996G+前兆でART「バサラフィーバー」が確定し、第二天井はボーナス間1598G+前兆で継続率70%以上の「決戦モード」と夜ART100G以上が確定する。深く沈むほど戻ってくる中身の質が上がる設計で、CZ天井・AT天井・スルー天井を並べる現行スマスロの多重天井の原型がここにある。,https://p-town.dmm.com/machines/1856,5,sengoku_basara3_5gou_20140901_enterrise_art_junzo22_basara_bonus_bellnavi_20_30_50_100_busho_bonus_8kai_tenjo_3shurui_dai1_bonus_art_kan_996g_basara_fever_dai2_bonus_kan_1598g_kessen_mode_keizoku70_yoru_art100g_episode,パチスロ記者
info,P-WORLD,L不二子BT,不二子BTは「ハマりに価値がない台」・天井も有利区間も無いのでデータランプのG数は拾う理由にならない,2025年12月22日導入のL不二子BT（アムテックス製・平和販売）は天井・有利区間ともに非搭載。つまりゲーム数がどれだけ回っていても期待値は増えないので、データランプのハマりは拾う根拠にならず純粋な設定狙い専用機になる。通常時のボーナスは1/141.2〜1/98.1と軽く、SUPER BIG（赤7ダブル揃いor青7揃い）最大153枚のあとBT「不二子TIME」へ突入。BT中はボーナス1/16（設定1）で、SUPER BIG当選ならBT継続・BIG当選でBT終了という判定なので、BT中は「どの7が揃うか」がそのまま生死になる。やめ時はBT終了時で毎回区切ってよい。,https://www.p-world.co.jp/machine/database/10383,5,fujiko_bt_info_tenjo_nashi_yurikukan_nashi_hamari_kachi_nashi_settei_nerai_sennyou_tsujo_bonus_1412_981_superbig_aka7_double_ao7_153mai_bt_fujiko_time_bonus_16_keizoku_hantei_big_shuryo_yamedoki_bt_owari,深夜のスロライター
info,一撃,L邪神ちゃんドロップキック,邪神ちゃんはCZが2種類で性格が違う・「3戦突破ゆりねバトル」は継続50%超を3つ通せばAT濃厚,8月17日導入のL邪神ちゃんドロップキック（SANYO）はCZが2種類ある。「ちゃんすだヨ！全員集合」と「3戦突破ゆりねバトル」で、後者はバトル継続率50%オーバー・3戦突破できればAT濃厚という自力型。ATは「人生シアター」のゲーム数上乗せタイプで純増は約2.5枚、上位で約5.0枚。ベース30.7G・コイン単価3.4円と数字の上では遊べる側に寄っており、機械割は97.8〜114.1%。同じCZ到達でもどちらを引くかで期待度も体感も変わるので、初日はCZの振り分けと突破率を自分で数えておくと、後の狙い目判断がかなり楽になる。,https://1geki.jp/slot/l_jashinchan/83/,5,jashinchan_dropkick_info_cz_2shurui_chansu_dayo_zenin_shugo_3sen_toppa_yurine_battle_keizoku_50over_at_noukou_jinsei_theater_gsuu_uwanose_junzo25_50_base307_tanka34_kikaiwari_978_1141_20260817_sanyo,スロ好き編集マン
info,スロベース,Lリコリス・リコイル,リコリコは純増約8.4枚・ボーナスを繰り返す「リロードシステム」でRUSHを2種類に分けてきた,サミーが2026年8月に導入を予定しているスマスロ リコリス・リコイル。ATの純増は1Gあたり約8.4枚と現行でも上位の時速で、「リコリスラッシュ」にはボーナスを繰り返す“リロードシステム”を搭載する。RUSHは「リコリスラッシュ」と「リコリスラッシュW」の2種類が用意されている。純増8枚級は継続率やセット数よりも1セットの長さと上位に行けるかで出玉が決まるため、導入後に見るべきはRUSH2種の振り分けと上位の到達契機。導入前で未公開の解析が多く、初日は数字を追うより契機の特定を優先したい。,https://slobase.jp/machines/lycoris-recoil,4,lycoris_recoil_sumaslo_info_sammy_2026_08_junzo84_reload_system_bonus_kurikaeshi_lycoris_rush_w_2shurui_joui_totatsu_keiki_1setto_nagasa_kaiseki_mikoukai,編集長補佐
info,DMMぱちタウン,スマスロ ガールズ&パンツァー最終章,ガルパン最終章はCZが設定1でも1/134と軽い・リセット65%の500G短縮とCZスルー回数まで込みで拾う,平和が2024年1月9日に導入したスマスロ ガールズ＆パンツァー最終章は、CZが設定1でも1/134と現行機のなかでもかなり軽い部類。CZ成功でATへ入る素直な構造で、純増は1Gあたり約4.7枚、50枚あたり約30.3G回る。立ち回りで効くのはリセット恩恵で、設定1でも65%で天井が500Gへ短縮される。さらにAT単発後はCZスルー回数天井が2回になりやすいとされており、液晶のゲーム数だけでなくCZを何回スルーしているかを数えると拾える台が増える。軽いCZは通常時が退屈になりにくく、導入から時間が経っても残っている理由もそこにある。,https://p-town.dmm.com/machines/4488,4,girls_und_panzer_saishusho_info_20240109_heiwa_cz_settei1_134_karui_at_junzo47_base303g_reset_65_tenjo_500g_tanshuku_at_tanpatsu_go_cz_through_tenjo_2kai_kazoeru_tachimawari,ライター見習い
episode,一撃,パチスロ超GANTZ（5号機）,パチスロ超GANTZ（5号機）・100点を集めきると95〜98%ループの特化ゾーンが開く「点数を貯める」ART,スパイキーが2018年3月5日に導入した5号機末期のART機。ART「サバイバルGAME」は1Gあたり純増約2.0枚の差枚数管理タイプで、通常時はチャンス目からのCZ「サバイバルZONE」と、転送図柄揃いから入るゲーム数不定のCZ「転送モード」を経由してARTを目指した。面白いのは点数の扱いで、100点未満で入る「GANTZ RUSH」は突入時の点数で継続ゲーム数が変わり、100点獲得で入る「超GANTZ RUSH」は毎ゲーム上乗せ×95%〜MAX98%ループ・平均上乗せ約400枚・期待値1000枚以上。原作のポイント制をそのまま出玉の階段に翻訳していた。,https://1geki.jp/slot/s_gantz/,5,cho_gantz_5gou_20180305_spiky_art_survival_game_junzo20_samai_kanri_cz_survival_zone_chance_me_tenso_mode_gsuu_futei_gantz_rush_tensuu_keizoku_gsuu_henka_100ten_cho_gantz_rush_maig_uwanose_95_98_loop_heikin400mai_kitaichi1000mai_episode,編集部AI
