cat,source,machine,title,body,url,quality,dup_key,author
info,P-WORLD,スマスロ BIRDIE WING -Golf Girls' Story-,バーディーウイングは周期抽選型でST初当りの設定差がデカいらしい,"ユニバーサルブロスの周期抽選タイプ。ボーナスはウイングボーナス純増約2.6枚、バーディー/エピソードボーナス純増約5.0枚の3種で、天井は10周期消化でバーディーボーナス当選(ST突入濃厚)。初当り確率は全て高設定優遇だが特にST初当りの設定差が大きく設定推測の主軸。赤背景(ユーハ)のキャラ紹介シナリオは設定2以上濃厚で、機械割は設定6が112.4%。カップインでCZ期待度が上がる演出が独特。",https://www.p-world.co.jp/machine/database/10458,4,birdie_wing_golf_girls_info_cycle,スロ専門編集
info,DMMぱちタウン,スマスロ攻殻機動隊,攻殻機動隊はコイン単価3.3円で設定変更後は設定1でも機械割100%超えって本当か,"コイン単価3.3円とスマスロでは低〜中単価帯で、上位ATに入ると純増が8.5枚に跳ね上がる瞬発型。CZ間天井550G+α/AT間天井999G+αだが、設定変更後はCZ間350G+α・AT間699G+αに短縮され設定1でも機械割100%オーバー。殲滅ZONEが規定ゲーム数到達の初期CZ的ゾーン、S.A.M.は継続型のエピソード進行CZでAT直撃抽選もあり。設定変更やAT終了時に高確以上スタートなら高設定期待度アップ。",https://p-town.dmm.com/machines/4931,4,koukaku_kidoutai_info_tenjou_settei,パチスロ記者
info,P-WORLD,スマスロ化物語,化物語は天井1000Gだけどリセ600G短縮で弱チェのAT直撃に設定差あり,"通常時最大1000G消化で天井到達しAT+倍倍CHANCEに当選、設定変更後は最大600Gに短縮。CZ突入抽選に設定差があり、通常滞在時のスイカ・強チェリー・チャンス目、高確滞在時のスイカからの当選率で差が出る。さらに通常時の弱チェリー成立時のAT直撃抽選にも設定差あり。AT中は特定枚数表示で設定示唆、ボーナス確定画面は複数種ありこちらも設定示唆。天井狙い・設定狙い両面で立ち回れる王道スペック。",https://www.p-world.co.jp/machine/database/10358,4,bakemonogatari_info_tenjou_settei,編集部AI
info,ちょんぼりすた,スマスロ ミリオンゴッド-神々の軌跡-,ミリオンゴッド軌跡は設定6初当り1/295が別格で設定狙い向きらしいぞ,"2015年「神々の凱旋」以来約11年ぶりのゴッドシリーズ最新作。設定6の初当りが1/295と別格に軽く、設定6機械割は114.6%(1時間あたり期待収支+6570円)。AT性能は1セット50G×純増約7.0枚で単発でも約350枚獲得でき、これを最大80%ループやストックで繋ぐ仕様。5号機凱旋同様、高設定ほど裏天国への移行が優遇される傾向で、一撃よりも初当りの軽さを取りに行く設定狙いがハマる現行ゴッド。",https://chonborista.com/zakki/258499/,4,milliongod_kiseki_info_settei6_kiido,編集長補佐
new,P-WORLD,スマスロ リコリス・リコイル,リコリコのスマスロは純増8.4枚でリコリスRUSH突入の設定差が要注目,"サミーから2026年夏(8月予定)導入のアニメ版権スマスロ。メインATリコリスRUSHは純増約8.4枚と出玉スピードが速く、CZおよびリコリスRUSH突入確率に設定差が設けられる見込み。設定6の機械割はスマスロ標準の114%級と予想され、初当りの軽さと継続のバランス型になりそう。千束・たきなのバディ演出をどこまで再現するかがファンの注目点で、原作の戦闘シーン再現度が初日評価を左右しそうだ。",https://www.p-world.co.jp/machine/database/10503,4,lycoris_recoil_new_spec_yokoku,スロキー編集部
jissen,DMMぱちタウン,L東京喰種,東京喰種は6月の設定6最有力で過半数のホールが6を入れてるって話題,"ホール関係者調査で6月の設定6最有力に挙がる現行屈指の安定機。設定6は差枚10000枚超えの報告が多く、過半数のホールが設定6を投入しているとの声も。出玉性能と演出の完成度から長期稼働が続いており、設定6だけでなく設定1・4でも粘れば万枚到達した事例まで出ている。荒さより安定して伸びる挙動が支持され、イベント日に設定狙いで腰を据えて打つ立ち回りが噛み合う一台。",https://p-town.dmm.com/specials/4046,4,tokyo_ghoul_jissen_settei6_june,深夜のスロライター
info,DMMぱちタウン,全般,6月6日に設定6が入りやすいは本当か ホール関係者が選ぶ期待機種ランキング2026,"ホール関係者への聞き取りによる2026年版の設定6期待機種ランキングでは、L東京喰種が筆頭、続いてジャグラーシリーズ、甲鉄城のカバネリ海門決戦が上位に挙がった。6月6日のような6のつくゾロ目日は店側も設定6投入を意識しやすく、機械割の高い人気機種に高設定が集まる傾向。やみくもに打つより、出玉性能と稼働が両立した上位機種に絞って設定狙いするのがイベント日攻略の基本という結論。",https://p-town.dmm.com/specials/5099,4,zenpan_june6_settei6_ranking_2026,スロ好き編集マン
new,ぱちんこキュレーション,スマスロ タコスロ,タコスロはボーナストリガー搭載のノーマルタイプでスベリと出目で魅せるらしい,"ユニバーサルブロスから登場予定のスマスロで、BT(ボーナストリガー)を搭載したノーマルタイプ。スベリと出目が生み出す新感覚のゲーム性を打ち出しており、純増管理のAT全盛のなかでリーチ目・目押しの楽しさを軸にした硬派路線が特徴。ユニバーサルブロス名義「LB/タコスロBD」が2026年5月29日に検定通過済みで、詳細な天井・設定差は順次公開予定。サンダーVや秘宝伝に続くユニバのノーマル回帰ラインとして注目されている。",https://pachinko-curation.com/63779/,4,tacosro_new_bonus_trigger_normal,ライター見習い
info,altema,スマスロからくりサーカス,からくりサーカスはATステージテーブルの選択で設定が透けるって知ってた?,"AT純増は約2.8枚or約7.6枚の二段階タイプ。注目はATのステージテーブル選択率の設定差で、テーブル1は奇数設定優遇、テーブル2は偶数設定優遇、テーブル3は設定5・6優遇、テーブル4は設定4・6優遇という割り振り。複数セット打てばテーブル傾向から設定を絞り込める。一撃の出玉力と長期稼働を両立した現行人気機種で、ステージ移行のクセを読む立ち回りが玄人に刺さる。続編からくりサーカス2も登場し系譜が続く。",https://altema.jp/pachimo/lkarakurisettei,4,karakuri_circus_info_stage_table_settei,編集部のマニア
jissen,note,スマスロ攻殻機動隊,攻殻機動隊は地味だけど良台と評判 上位AT8.5枚の瞬発力が刺さる,"打ち手の評価は「地味だが良台」に集約。通常時はポイントと50Gごとの抽選で前兆が始まり演出を経てCZへ進む流れで、退屈になりがちな部分はあるものの、上位ATに入ったときの純増8.5枚の瞬発力が一気に出玉を伸ばす。設定変更後は天井短縮で設定1でも機械割100%超えのため、リセット狙い・天井狙いの期待値も取りやすい。高設定は高確以上スタートが増える挙動で、設定狙いと天井狙いの両面で稼働できる玄人好みの一台。",https://note.com/darukun/n/n707db34ded72,4,koukaku_kidoutai_jissen_ryoudai_hassan,スロ専門編集
